trial_id,fold_id,train_start,train_end,val_start,val_end,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,reg_alpha,reg_lambda,gamma,max_delta_step,early_stopping_rounds,best_iteration,val_rmse,val_mae,val_corr,val_r2
36,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,800,5,0.01,1.0,0.8,3.0,0.01,3.0,0.0,1.0,100,659,0.6975545883178711,0.5749527812004089,0.6950116118116163,0.4589330554008484
36,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,800,5,0.01,1.0,0.8,3.0,0.01,3.0,0.0,1.0,100,185,0.7324911952018738,0.5925555229187012,0.4505125681376565,0.12201189994812012
37,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,1200,4,0.01,0.6,1.0,10.0,1.0,10.0,0.1,0.0,50,242,0.631872296333313,0.49474284052848816,0.5850748373105722,0.3391355276107788
37,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,1200,4,0.01,0.6,1.0,10.0,1.0,10.0,0.1,0.0,50,523,0.6643201112747192,0.5335844159126282,0.7262710398989778,0.5092623233795166
37,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,1200,4,0.01,0.6,1.0,10.0,1.0,10.0,0.1,0.0,50,195,0.739863395690918,0.6042051315307617,0.4197069706941169,0.10424983501434326
38,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,1600,2,0.03,1.0,1.0,10.0,1.0,1.0,0.1,1.0,100,74,0.643147349357605,0.5115264654159546,0.5690932225876151,0.3153402805328369
38,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,1600,2,0.03,1.0,1.0,10.0,1.0,1.0,0.1,1.0,100,138,0.6760888695716858,0.5380260944366455,0.7083102875028631,0.4917210340499878
38,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,1600,2,0.03,1.0,1.0,10.0,1.0,1.0,0.1,1.0,100,219,0.7520008087158203,0.6189978122711182,0.48412289918871326,0.07461941242218018
39,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,1200,5,0.01,1.0,0.6,10.0,1.0,5.0,0.5,1.0,100,241,0.625881016254425,0.49929481744766235,0.5931407861586727,0.3516085147857666
39,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,1200,5,0.01,1.0,0.6,10.0,1.0,5.0,0.5,1.0,100,409,0.6811426281929016,0.5477724075317383,0.7054324744167778,0.4840938448905945
39,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,1200,5,0.01,1.0,0.6,10.0,1.0,5.0,0.5,1.0,100,132,0.7398437261581421,0.6025782823562622,0.4148890450060031,0.10429757833480835
40,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,800,3,0.03,1.0,1.0,3.0,0.0,10.0,0.1,1.0,50,86,0.6623154878616333,0.5209402441978455,0.5371940211941926,0.2739213705062866
40,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,800,3,0.03,1.0,1.0,3.0,0.0,10.0,0.1,1.0,50,136,0.6709203124046326,0.534260094165802,0.7143811062202462,0.49946266412734985
40,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,800,3,0.03,1.0,1.0,3.0,0.0,10.0,0.1,1.0,50,124,0.7579505443572998,0.6191017627716064,0.43704575823736613,0.05991846323013306
41,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,500,3,0.03,1.0,1.0,1.0,0.0,5.0,0.5,0.0,100,62,0.6577759981155396,0.5151511430740356,0.5433389271897132,0.2838404178619385
41,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,500,3,0.03,1.0,1.0,1.0,0.0,5.0,0.5,0.0,100,85,0.6860959529876709,0.5484741926193237,0.701234394908153,0.47656315565109253
