trial_id,fold_id,train_start,train_end,val_start,val_end,channels,kernel_size,dropout,head_hidden,n_head_layers,lr,weight_decay,batch_size,patience,grad_clip,max_epochs,best_val_loss,val_rmse,val_mae,val_corr,val_r2
25,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,"[64, 128, 256]",3,0.4,512,2,0.001,0.0,8,25,1.0,60,0.4506986597988093,0.6713413000106812,0.5045925974845886,0.5336842386689731,0.2539970874786377
25,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,"[64, 128, 256]",3,0.4,512,2,0.001,0.0,8,25,1.0,60,0.6314474879024184,0.7946372628211975,0.607766330242157,0.5953331851768812,0.29784584045410156
25,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,"[64, 128, 256]",3,0.4,512,2,0.001,0.0,8,25,1.0,60,0.46249615644740166,0.6800705790519714,0.5549014210700989,0.5415624757735751,0.24318140745162964
26,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,"[64, 128, 256]",3,0.2,512,1,0.0003,0.0,16,25,1.0,60,0.434972832136065,0.6595247387886047,0.509145200252533,0.5538816668856619,0.28002744913101196
26,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,"[64, 128, 256]",3,0.2,512,1,0.0003,0.0,16,25,1.0,60,0.6994449535262919,0.8363282680511475,0.6802549958229065,0.6644836856832429,0.22223550081253052
26,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,"[64, 128, 256]",3,0.2,512,1,0.0003,0.0,16,25,1.0,60,0.47285263616347983,0.6876428127288818,0.5545850396156311,0.5156490095270113,0.22623395919799805
27,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,"[64, 128, 256]",5,0.4,256,1,0.001,0.0001,16,12,1.0,60,0.4335971886866561,0.6584809422492981,0.5200558304786682,0.53994328779546,0.2823045253753662
27,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,"[64, 128, 256]",5,0.4,256,1,0.001,0.0001,16,12,1.0,60,0.5416142221923187,0.735944390296936,0.5790635347366333,0.6772120961727291,0.3977391719818115
27,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,"[64, 128, 256]",5,0.4,256,1,0.001,0.0001,16,12,1.0,60,0.49442064608925973,0.7031505107879639,0.5535827279090881,0.5187574660042519,0.19094067811965942
28,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,"[64, 128, 256]",3,0.4,256,1,0.0003,0.0,32,25,1.0,60,0.43224868178367615,0.6574562788009644,0.5118955373764038,0.5375256597924306,0.2845364212989807
