rank,trial_id,n_folds,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,reg_alpha,reg_lambda,gamma,max_delta_step,early_stopping_rounds,mean_val_start,std_val_start,mean_val_end,std_val_end,mean_best_iteration,std_best_iteration,mean_val_accuracy,std_val_accuracy,mean_val_f1_macro,std_val_f1_macro,mean_val_auc_macro,std_val_auc_macro,mean_val_bss,std_val_bss,mean_selection_score,std_selection_score
60,249,3,800,5,0.03,0.8,1.0,10.0,0.0,5.0,0.1,1.0,100,,,,,102.33333333333333,95.57312499977294,0.5451713395638629,0.11249514071817934,0.49986900790519456,0.13581996580629507,0.7013132119793285,0.095500319824917,0.0684484796423851,0.17553881695904597,0.0684484796423851,0.17553881695904597
61,225,3,1200,3,0.01,1.0,0.6,10.0,0.01,10.0,0.5,1.0,100,,,,,270.6666666666667,227.31084932801213,0.5420560747663551,0.10601058895435235,0.48955597754997476,0.13052088467783282,0.705507115304986,0.08590895095213066,0.06841855482154924,0.16971472609915783,0.06841855482154924,0.16971472609915783
62,107,3,1200,4,0.05,0.8,0.8,10.0,0.01,1.0,0.5,1.0,50,,,,,40.666666666666664,37.06151043273271,0.5420560747663551,0.10683132834568376,0.5051740087797328,0.12684266358435609,0.6993692468648228,0.1044440258979162,0.06835347283545885,0.18102362916616213,0.06835347283545885,0.18102362916616213
63,81,3,500,4,0.05,0.6,1.0,5.0,0.0,3.0,0.0,1.0,100,,,,,60.0,60.33793720924396,0.5389408099688473,0.10388368847684153,0.4952899016449237,0.12396484055689115,0.7053451432404579,0.09314355321995052,0.06833830547213078,0.1725753073117147,0.06833830547213078,0.1725753073117147
64,208,3,500,3,0.03,0.6,0.6,5.0,0.1,3.0,0.1,0.0,50,,,,,93.66666666666667,56.98147847229737,0.5420560747663551,0.11992757978143398,0.5001524257426734,0.14218638621748553,0.7067310067619731,0.10204982332421161,0.06829802510859177,0.1893154265213021,0.06829802510859177,0.1893154265213021
65,191,3,1200,2,0.01,0.6,0.6,1.0,0.0,10.0,0.0,1.0,50,,,,,407.6666666666667,349.0189424977135,0.5358255451713395,0.09959107391368087,0.49070771549413766,0.12430077066925302,0.6952492461865546,0.10293429332579603,0.06829086613732183,0.18108907895741355,0.06829086613732183,0.18108907895741355
66,193,3,500,5,0.01,0.6,0.6,3.0,0.1,5.0,0.5,0.0,50,,,,,241.0,181.76358271116908,0.5202492211838006,0.09325002833081472,0.48008800659041845,0.11176637149156121,0.6989587556027979,0.09987803185634146,0.06805063285385449,0.18372494686519392,0.06805063285385449,0.18372494686519392
67,248,3,500,3,0.03,0.8,0.6,5.0,0.1,1.0,0.5,1.0,50,,,,,73.66666666666667,63.35788997608918,0.5202492211838007,0.09541054723435236,0.47145660614673224,0.113006533646781,0.6947102422237234,0.10013724003154766,0.067909597572414,0.18490132328216333,0.067909597572414,0.18490132328216333
68,62,3,1600,5,0.01,0.6,0.8,3.0,0.1,3.0,0.5,0.0,50,,,,,258.0,203.7269414355074,0.5327102803738318,0.119927579781434,0.49460316266975796,0.13378693408972786,0.6951892289938929,0.1054304958932909,0.06789015505003053,0.19244183800421877,0.06789015505003053,0.19244183800421877
69,22,3,500,3,0.1,0.8,0.8,10.0,1.0,3.0,0.1,1.0,100,,,,,38.0,37.47888294315436,0.5482866043613707,0.09479828071466004,0.49884654211792306,0.1288424829165819,0.6958438915653412,0.09829896336786313,0.06780533509376914,0.1734747602548525,0.06780533509376914,0.1734747602548525
70,95,3,1600,5,0.05,0.8,0.6,5.0,0.1,3.0,0.1,1.0,50,,,,,55.0,58.034472514187634,0.5327102803738317,0.09920051917813492,0.4906554523650622,0.12673366974977926,0.697877444244479,0.0958447239626608,0.06771280366439403,0.18027137571015572,0.06771280366439403,0.18027137571015572
71,30,3,800,5,0.05,0.8,0.6,10.0,0.1,3.0,0.0,1.0,100,,,,,58.0,57.27710420985567,0.5451713395638629,0.10416357319190334,0.5031549689179183,0.1359030927576288,0.7005929183064733,0.09454720525642382,0.06769832107161271,0.1716878503608509,0.06769832107161271,0.1716878503608509
72,15,3,1200,4,0.01,0.8,0.6,5.0,0.1,5.0,0.0,1.0,100,,,,,328.6666666666667,290.1520674098708,0.5358255451713395,0.11976562483950831,0.4950744406547925,0.13804345629949963,0.6994165163361347,0.10053948594118965,0.067635259751427,0.18384585754287824,0.067635259751427,0.18384585754287824
73,105,3,500,3,0.03,0.6,0.6,5.0,0.01,5.0,0.5,0.0,50,,,,,135.0,115.34585673818833,0.5358255451713395,0.091038250443629,0.4953068012114999,0.11828800045788523,0.7025153947171784,0.10093460690750622,0.06749121503786482,0.18149500714171843,0.06749121503786482,0.18149500714171843
74,136,3,1200,3,0.03,0.6,0.6,5.0,0.01,5.0,0.5,1.0,100,,,,,135.0,115.34585673818833,0.5327102803738318,0.0866693317336047,0.4924626061921064,0.11436541484064545,0.702477797610957,0.10054428477181368,0.06741574885598152,0.18000405225245542,0.06741574885598152,0.18000405225245542
75,189,3,500,4,0.03,0.6,1.0,1.0,1.0,10.0,0.5,0.0,50,,,,,176.66666666666666,172.87824874427923,0.5171339563862928,0.09199266704195264,0.4776226425613812,0.10655605032391767,0.6947650857712039,0.10227069348748409,0.06711719692484719,0.17289521371893785,0.06711719692484719,0.17289521371893785
76,9,3,1200,3,0.01,0.6,0.8,1.0,0.0,3.0,0.1,0.0,50,,,,,257.6666666666667,232.50710861295306,0.5233644859813084,0.08996591325977352,0.48055234696437304,0.10926987461043441,0.6935802377042525,0.10213083279066983,0.06685757692303229,0.18474127147458957,0.06685757692303229,0.18474127147458957
77,118,3,1200,4,0.01,0.6,1.0,1.0,0.1,3.0,0.1,0.0,100,,,,,265.0,242.83327613817676,0.5451713395638629,0.08678123537186366,0.5000834018492624,0.10910162134802137,0.6898594953340232,0.10578862425467002,0.0668478001978104,0.1843929310243083,0.0668478001978104,0.1843929310243083
78,45,3,800,4,0.05,0.6,0.8,5.0,0.1,3.0,0.0,0.0,50,,,,,53.666666666666664,50.677630392730705,0.5295950155763239,0.11581078065695392,0.48882131381893895,0.12854634802092316,0.70006996432509,0.09864706499156248,0.06673751275547335,0.17760924316799576,0.06673751275547335,0.17760924316799576
79,54,3,800,5,0.05,0.6,0.8,5.0,0.0,5.0,0.0,0.0,50,,,,,64.66666666666667,51.27919222799395,0.5233644859813084,0.11747481392501434,0.4848817379426031,0.13329810808710124,0.699489891324677,0.10267705008050776,0.06672295011745884,0.18378202516256928,0.06672295011745884,0.18378202516256928
80,152,3,1200,5,0.05,0.6,0.8,5.0,0.01,10.0,0.5,0.0,100,,,,,85.33333333333333,74.01050976419197,0.5264797507788161,0.10907876261689467,0.4856633825742678,0.12476620355014881,0.7014016486517242,0.10250516643074849,0.0667016679181196,0.17742528025317297,0.0667016679181196,0.17742528025317297
81,147,3,800,3,0.03,0.6,0.8,1.0,0.01,10.0,0.1,0.0,100,,,,,162.66666666666666,163.1897327925041,0.5358255451713395,0.07212359440990794,0.4989622243792364,0.09454886183847387,0.7027026677974436,0.09165973285248563,0.06669450480813159,0.17071864567128525,0.06669450480813159,0.17071864567128525
82,100,3,1600,3,0.01,0.8,1.0,5.0,0.1,5.0,0.1,1.0,100,,,,,324.6666666666667,292.4942544544916,0.5327102803738318,0.10490628187216657,0.49178567821862856,0.11995558130787669,0.6974635955846756,0.09760891254382137,0.06668939262293334,0.18364949214426055,0.06668939262293334,0.18364949214426055
83,177,3,500,3,0.03,0.8,1.0,3.0,1.0,5.0,0.5,0.0,50,,,,,113.0,110.6104274770994,0.5327102803738318,0.08253982118063408,0.4910504395446322,0.10306588169143807,0.7006664602629646,0.0909713283425753,0.06660236882529495,0.17531191858287928,0.06660236882529495,0.17531191858287928
84,74,3,1200,3,0.01,0.8,0.6,3.0,1.0,10.0,0.1,0.0,100,,,,,408.3333333333333,388.0209043624096,0.5295950155763239,0.08159377478946288,0.4853957388575732,0.11437738231424746,0.7017410389114981,0.09156596870217014,0.06652881477701778,0.17352596792326816,0.06652881477701778,0.17352596792326816
85,246,3,1200,5,0.03,0.6,0.8,1.0,0.0,5.0,0.1,1.0,100,,,,,120.33333333333333,121.38735061318742,0.5295950155763239,0.0709022222849909,0.48993319401480573,0.09553145605574051,0.6939356874283963,0.10271544090395104,0.06646427628342381,0.18186606908153533,0.06646427628342381,0.18186606908153533
86,209,3,800,4,0.01,0.8,0.6,3.0,0.1,10.0,0.5,0.0,100,,,,,335.3333333333333,296.04203905676786,0.5295950155763239,0.09103825044362901,0.4892277287872633,0.11378185721051085,0.7000067607111284,0.09186194960203721,0.06642543228164126,0.17603958127425154,0.06642543228164126,0.17603958127425154
87,144,3,800,5,0.01,0.6,0.6,5.0,0.1,3.0,0.1,1.0,100,,,,,277.6666666666667,233.64122543383098,0.5264797507788161,0.11656253541351841,0.4863644444015787,0.13035467411450838,0.6967841466444407,0.10336853436772761,0.06635095723950879,0.18609068084421207,0.06635095723950879,0.18609068084421207
88,50,3,1600,2,0.03,0.6,0.8,1.0,0.01,10.0,0.0,0.0,100,,,,,202.33333333333334,221.08872025099384,0.5358255451713395,0.10161686249408156,0.48433122313534943,0.13122170683426,0.6984124859525296,0.0972844623960141,0.06629266215198082,0.17804633527653835,0.06629266215198082,0.17804633527653835
89,83,3,500,4,0.01,0.6,0.8,3.0,1.0,5.0,0.1,1.0,100,,,,,253.66666666666666,174.58013123555105,0.5233644859813084,0.11522269164427992,0.4842848636207324,0.12602631722922894,0.6985021773598739,0.1043730158508406,0.06622989842261506,0.18217034966643827,0.06622989842261506,0.18217034966643827
90,17,3,800,3,0.03,0.8,0.6,5.0,0.0,1.0,0.5,1.0,50,,,,,73.66666666666667,63.35788997608918,0.5264797507788163,0.09230861302198785,0.4813001413108939,0.10826806200164414,0.6933131058708443,0.10037890139028599,0.06614861848051339,0.18367820949602096,0.06614861848051339,0.18367820949602096
91,67,3,500,3,0.1,0.6,1.0,10.0,1.0,1.0,0.5,0.0,50,,,,,38.0,35.59026084010437,0.5109034267912772,0.14118715506074342,0.47516685717577517,0.15049473667444294,0.697408533923153,0.11364438908113438,0.06604813890493984,0.1986350599657789,0.06604813890493984,0.1986350599657789
92,78,3,1200,4,0.03,0.8,1.0,3.0,0.0,10.0,0.0,1.0,100,,,,,137.0,128.03905654135383,0.5327102803738318,0.08996591325977352,0.49219509360585917,0.10776462506186076,0.7021324633839869,0.09030491073915638,0.06603047440447292,0.17774086517105633,0.06603047440447292,0.17774086517105633
